kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,ra,dec
10656842,K05816.01,,CANDIDATE,CANDIDATE,,0,0,0,0,82.508054,1.32E-03,-1.32E-03,162.3992,1.30E-02,-1.30E-02,0.0379,0.4148,-0.0377,3.806,0.357,-0.357,3.52E+02,3.75E+01,-3.75E+01,0.016621,1.43E-03,-8.52E-04,14.04,5.20E-01,-3.64E+00,11.4,288.13202,47.995541
10658177,K05817.01,,CANDIDATE,CANDIDATE,0.95,0,0,0,0,113.083522,2.39E-03,-2.39E-03,217.1521,1.63E-02,-1.63E-02,0.039,0.414,-0.039,10.315,0.536,-0.536,1.31E+02,1.20E+01,-1.20E+01,0.0104,8.27E-04,-3.79E-04,1.59,2.80E-01,-3.10E-01,13,288.72644,47.906872
10661679,K05818.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,1.23138339,1.60E-05,-1.60E-05,131.7865,1.30E-02,-1.30E-02,0.348,0.117,-0.348,3.943,0.193,-0.193,7.27E+01,4.20E+00,-4.20E+00,0.007828,2.50E-04,-3.87E-04,0.82,2.60E-01,-7.00E-02,21,290.25308,47.983318
10663976,K05819.01,,CANDIDATE,CANDIDATE,,0,0,0,0,381.37504,3.64E-02,-3.64E-02,490.55,5.96E-02,-5.96E-02,0.3515,0.0961,-0.3514,16.57,3.8,-3.8,2.87E+02,4.66E+01,-4.66E+01,0.015559,1.98E-03,-9.77E-04,1.24,4.10E-01,-8.00E-02,11.8,291.21762,47.95216
7935997,K05447.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,322.5566305,,,321.7790604,,,,,,3.74,,,,,,,,,,,,,280.2066,43.774288
7938499,K05448.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,1,7.2269859,1.43E-04,-1.43E-04,136.1514,1.83E-02,-1.83E-02,0.561,0.373,-0.342,14.241,0.526,-0.526,1.60E+02,7.10E+00,-7.10E+00,0.011875,2.95E-03,-5.39E-04,0.79,6.00E-02,-8.00E-02,26.2,281.9617,43.713871
7941635,K05449.01,,FALSE POSITIVE,FALSE POSITIVE,0.768,0,1,0,0,0.762724045,1.11E-07,-1.11E-07,131.650802,1.20E-04,-1.20E-04,1.252,0.291,-0.076,1.98818,0.00538,-0.00538,9.78E+03,1.38E+01,-1.38E+01,0.384859,2.76E-01,-7.06E-02,41.02,1.16E+01,-7.15E+00,451.7,283.5701,43.736118
7948619,K05450.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,206.7642577,,,325.9501578,,,,,,2.57,,,,,,,,,,,,,287.27939,43.76498
7950158,K05451.01,,CANDIDATE,CANDIDATE,,0,0,0,0,529.39169,1.30E-02,-1.30E-02,387.3915,1.14E-02,-1.14E-02,0.037,0.4227,-0.037,10.869,0.627,-0.627,3.20E+02,2.96E+01,-2.96E+01,0.016075,1.17E-03,-6.93E-04,4.4,2.31E+00,-1.75E+00,12.1,288.03607,43.796139
7967210,K05452.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,362.49906,2.21E-02,-2.21E-02,404.3391,4.23E-02,-4.23E-02,0.5297,0.1166,-0.4028,12.17,2.1,-2.1,5.23E+02,7.69E+01,-7.69E+01,0.021571,1.10E-03,-2.34E-03,2.51,9.30E-01,-3.50E-01,10.3,294.31674,43.797642
